gstp1
mtfr1l
pcsk9
csnk1g2
dmd
ufl1
rpl7l1
nemf
tsen34
atp6v1a
ncl
zfp771
sfxn2
gckr
acmsd
pfkfb1
arl6ip4
mad2l2
zfp707
copb1
itpa
rock2
gm17541
map1lc3b
arhgef12
tpst1
lgals8
mbd2
mrps12
hdac11
slc17a4
srp72
nap1l1
elovl1
dym
emc4
ppp1cc
ccar1
rnf187
prpf40a
irf6
eif4e2
ankrd46
tmx1
grcc10
arpc1a
stk25
plekha8
trak1
dcun1d4
scrn3
rfc2
ormdl2
ptprj
ptgr2
gm4076
cript
tmem189
rnh1
ptprk
ube2f
phb2
ndufv1
rab32
vprbp
rc3h1
sars
ai317395
arsa
mrpl48
ythdf2
plcg1
tmem14c
copg1
9530068e07rik
bcl9l
stat2
slc48a1
ryk
sdf4
gorasp2
brd4
sf3b2
pitpna
pdhx
lmo7
ybx3
mtfp1
rtn3
fam173a
mrpl15
sept7
mrpl36
snx9
enpp1
snhg12
trim28
pdp2
c2cd2l
ccng2
egln1
twsg1
ppargc1b
trim8
tulp4
spon2
eif4g3
atp6v1d
ift46
cxxc5
fbxo6
mrpl32
sf3b5
med8
unc119b
ranbp2
spryd4
slc20a2
lrpap1
slc35e3
yeats4
zfp322a
xpa
htatsf1
rreb1
gm16124
4933434e20rik
psmc4
dek
atp2b1
foxo4
smim20
fbxl20
ctdnep1
mpeg1
kansl3
isg15
adcy9
kpna6
ptpn9
camkk2
ext1
tmtc2
tdrp
tmem184c
ctbp1
timm23
tspan14
srsf4
acot4
agap3
scrn2
agtpbp1
spns1
gm5786
2310011j03rik
anp32e
trib3
dvl1
lrrc42
mrps27
zc3h18
fam204a
trnau1ap
pgm3
lpar6
dnajc12
serpine2
sec22c
nudt1
tppp
vwa5a
klb
chtf8
pank2
opa3
prr14
lclat1
slc22a28
phkb
man1a2
fars2
wdr37
ppp2r2a
car2
kdm7a
abhd4
slc22a15
sox6
snx13
tgs1
aldh16a1
tbck
rab3gap1
sowahb
isoc2b
ttc1
sesn3
borcs7
4921524j17rik
lrrc40
jarid2
orai3
ppl
rbbp9
senp3
cntrl
tmco4
bcat2
zc3h13
4833420g17rik
apex1
tbc1d16
ccl27a
cfap36
tnks1bp1
oxld1
mtf1
ngrn
bc029722
msrb2
b4gat1
ankrd12
f8a
cyld
tmem11
cdk5
fam222a
gpr107
zfp512b
pan3
wdr7
mri1
rab34
2010003k11rik
ftsj1
tmem82
tram2
gpatch2
slc35a2
acd
tmem101
dguok
slx1b
cmc4
lingo4
cstf2
ercc6l2
tmod3
golga1
ndufaf3
eid1
parp10
tmem126b
slc34a2
dusp28
dnaja4
atxn7l3
rabif
yipf2
spred2
pofut1
cdkn2c
tmem125
clic1
cdc42se2
nup88
zfp113
nacc1
ptpn2
gas2l3
au040320
akap17b
bc024139
arhgef1
zbtb1
xrn1
tbc1d8b
neurl4
cyp2d34
1700113a16rik
samd4
zswim8
ephb4
clk3
prkca
dhrs9
e030030i06rik
tmem184a
pmm1
slc36a4
gm15611
alkbh2
pradc1
n6amt2
rassf1
fdxr
zbtb14
mon1b
zfp740
ldlrad3
cdt1
gm26853
erbb4
zfyve16
kif13b
lcmt2
tmem251
rusc2
gas7
synrg
zfp516
stk17b
lrp3
ugt1a1
gm10311
dusp14
med20
nob1
mis18a
gpr19
zfp119b
tmem51
