cyp2e1
sult1b1
egfr
mrps21
lamtor2
dnajc19
gtf2h5
slc13a3
mpc2
col18a1
msmo1
slc25a39
c1d
itm2b
pctp
tpi1
1810022k09rik
prdx4
bdh2
slc16a7
slc6a6
rpl27a
serpina3n
akip1
apon
suox
surf4
nmt2
bc048546
rps24
bola3
rpl26
pdcd5
gchfr
slirp
slc25a16
dlat
mt-nd6
mst1
cyp2c55
sdc4
gcnt2
serpina10
ivns1abp
cd81
app
hint3
smim4
tbcel
mrpl52
psmd14
tff3
kynu
dhcr7
gm10116
idh2
clec2d
cdk6
sgpp1
notum
nadk2
esr1
tcn2
rps23
onecut2
uck1
rpl13
rbp1
smim22
cox5b
kcnq1ot1
pfdn5
khdrbs3
arl6ip1
psmd1
csrp2
ptk2b
gadd45g
mt-nd5
ube2h
aldh6a1
ccbl2
rora
galk1
slc17a8
mdfic
acbd5
ept1
dstn
pank1
crls1
pigp
ap3s1
gm17634
fst
irf2
hebp1
ghr
lsm12
smim1
ctsl
ifit1
os9
oaf
gabarapl2
itih5
1810008i18rik
cyp8b1
pafah2
cadm1
fdx1
lifr
plbd1
rexo2
tm9sf3
zbtb44
rpl30
plxnb1
agmat
mfn2
psmb1
calu
xdh
st6galnac6
tbx3os1
trib1
degs1
ttc23
zap70
tceb2
otud7b
kmo
ppdpf
arhgef19
golga7
ccnd1
yme1l1
gm26917
rps27
pdzk1
tnfaip8l1
gm21286
ghitm
mrpl42
cited2
stra13
tle4
slc23a1
fam213a
aadat
ell2
whamm
tenm3
ginm1
ldlr
ifitm3
leprotl1
mmadhc
rcan2
rpl22
rhobtb1
tpp1
gusb
glce
fndc4
itm2c
tmem97
egln3
arsg
pltp
stbd1
cyp3a13
ammecr1l
hao1
pcbd1
slc16a11
creb3l3
psma5
tma7
erp44
calr
oxsm
gm3839
krt18
ppp1r3g
amacr
aifm1
pim1
gdap2
clstn3
lgr5
sorbs2
pgrmc2
nnt
slc25a15
gas6
stard4
hsd17b7
timm8b
gaa
tapt1
slc25a5
pex3
cox5a
suclg2
smim11
mrps24
ddx18
gpbp1l1
nudt12
hsd17b12
fetub
2810428i15rik
txnl1
pparg
rpl17
acsm5
gcc2
sema4g
g3bp1
dcaf12
cox7c
dynll1
avpi1
psma4
cfap20
masp2
tob2
oxr1
slc25a33
u2af1
pole4
srp9
zcrb1
1110008p14rik
bckdhb
lcat
chd3
secisbp2l
lypla1
ablim3
eif3e
ranbp10
mlycd
hsp90ab1
aldh8a1
tcf24
stub1
pdha1
akr1c13
mgat2
gnai2
ttc39b
ttyh2
got2
prps1
uqcc2
akr1c12
c2cd2
gm10073
prkcz
tm9sf2
anxa6
ralbp1
swi5
smdt1
tcea1
pvrl2
cat
mmp19
rpl5
habp4
kif1c
gm5617
bc005561
sptan1
tmem37
mocos
rbbp7
ptges3
apol9a
tmbim6
tsc22d4
smyd2
rpa1
atf4
nt5e
gm15417
ppp2r5a
rtf1
nbeal1
uqcrc1
prkar2a
hint2
agtr1a
ddx24
l2hgdh
msrb1
irs1
mrps5
gclm
psma6
lactb
ppp3r1
slc25a42
glyctk
bptf
ndufv3
tspan12
cyp2b10
hagh
arl4d
cyp3a59
pank3
denr
dgcr6
them7
olig1
prpf19
cox16
actn4
scaf11
tgfa
ccdc162
rpn1
emc7
zfp655
nfs1
dhx32
mtx2
usp14
bag4
ccng1
galk2
ppa2
cox8a
hdac2
spint2
1700080g11rik
tfr2
dram2
slc35a3
larp1
fam234b
cops4
hn1l
nsdhl
ildr2
hax1
atp6v1h
ttc32
srp19
mavs
hnf1aos1
slc39a8
arhgef3
ndufv2
cebpzos
ndufb5
2810459m11rik
trappc1
uqcc3
ubr3
pnpla7
tspan33
ubap1
axin2
ppara
fxr1
ctnna1
pabpc1
jup
nrbp2
casc4
pipox
rnf213
abca2
tspan9
dnajc22
nedd8
rpn2
bcl3
dpys
cfhr1
galnt4
rab11a
ppp5c
usp24
cox4i1
rpl18
mtif3
baiap2
taok3
1810011o10rik
hdhd3
cecr2
cpped1
zbtb8b
ifit3
aatk
dnajb2
f9
ndufb9
dusp16
rabep1
sucla2
srsf6
atp11b
rpl21
sec22a
chchd2
ccdc50
zfand3
pex7
dusp1
pbx1
mcm6
pgam1
peli1
cryz
apob
mfsd4
lamtor4
arf6
mgat1
mrpl30
pfkl
pmpca
rbms2
pemt
emc1
larp4
colec12
pex14
ube2s
wdr18
ppp2ca
sub1
mfge8
ttc36
itfg1
zfhx3
clcc1
atg5
crat
nme1
cds2
itgav
rbm6
nfe2l1
usp46
chmp7
fkbp9
bcas2
zfp598
2700094k13rik
rnf139
tmem14a
eif3f
cope
casp8
ten1
idi1
spata2l
lrrfip1
rnf44
ibtk
ddx3x
safb2
sp5
ipo8
parva
b430119l08rik
smlr1
smarcc1
slc43a3
vti1b
atp5h
phf20l1
cnn3
tcf7l1
atp6ap1
urod
nr3c1
gpr146
poc1b
nudt19
ces4a
mycbp2
sdhc
klhl42
ppp1r13b
chchd7
acot2
srrm1
fam210b
gucd1
hexim1
glrx3
gemin6
ppp1r3b
rab5a
tomm22
diaph1
1600020e01rik
1810044d09rik
f830016b08rik
wfdc2
psmg3
zmat2
mrps33
smarcd2
sp1
acss2
trappc4
vnn3
srxn1
hnrnpa2b1
acy1
s100a1
tonsl
ube2g1
prkab1
cyb561
pdgfc
snrnp70
usp34
cdk2
stxbp6
rela
rnpep
glrx5
rab3d
ttc19
aatf
shc1
ccdc157
ptdss1
usp22
apcs
hint1
tax1bp1
ocln
gpatch8
pfdn2
il4ra
fto
ufm1
tsfm
arpc5
gsto1
umad1
lima1
tmed2
2700060e02rik
srsf11
chdh
myc
hnrnpc
creld1
dnaja2
edf1
rps3a1
immt
rpl19
hykk
tmem50a
ccdc47
map3k1
pde4b
polr3k
mpdz
mcee
cks2
nab2
rps6
adgrv1
palmd
rbm18
cacul1
acacb
dnajc8
habp2
ugcg
adtrp
pabpc4
acad11
atl2
n4bp1
abhd18
2810004n23rik
rpl4
mrpl14
atxn2
cd63
pde8a
colgalt1
dynlt3
sh3bgrl
nub1
ndufb7
grb14
robo1
klhl2
brip1os
wasl
map2k5
shmt1
stk40
zfp825
5430416n02rik
hiatl1
tor1a
rab21
pcdh1
plscr2
smchd1
tomm70a
cept1
eea1
etfa
rfc1
zfp266
bmp7
rcor3
rnf146
rasgrp2
pxn
sec24d
r3hdm1
commd6
ascc3
stmn1
fkbp3
sigirr
anxa4
abhd16a
idh3g
tpr
tmie
ddhd1
timm21
rgs12
nudt9
shroom3
zdhhc6
ankrd11
glg1
eif4h
fuca1
ehmt1
ndufa11
sat1
oaz2
senp6
s100a13
magoh
vps26b
ssbp1
ube3c
vps33a
ptprg
hnrnpa3
tec
hyal2
etv3
ube3a
saa4
acad8
dct
gnpnat1
chd7
sirt2
1190005i06rik
taf2
exosc3
ddx3y
syne1
ube2q2
cmtm6
snx17
use1
mpv17l2
tprgl
cln8
prg4
ube4a
eef2k
morf4l2
cspp1
dtnb
sptbn1
gramd3
ptrh2
napa
trip12
sec22b
uap1
mia2
lztfl1
ide
hsbp1l1
ai314180
mrps15
snrpd3
mif4gd
aldoc
ak3
lrp2bp
rprd2
gtf2ird1
minpp1
slc25a25
guk1
tmem25
nudt5
fbxo34
cdipt
zyx
pex19
pafah1b2
tstd2
gm11837
cd276
kif5b
gfpt1
hn1
vldlr
klhl25
map7d1
prps2
plekha3
nek6
mrpl27
rnf217
anapc16
caml
akap8
mybbp1a
dpy19l3
cped1
kansl2
hcrtr2
atp5e
tmem126a
snrnp48
gstm7
ube4b
adap2
mtch2
sfr1
etfdh
tmem263
cbfb
ell
lancl1
mrps36
rnf130
elk4
zdhhc7
cggbp1
adamts7
sowahc
gm11273
usp10
lrig1
lnx2
gmpr2
rnf145
grsf1
rab23
map3k4
map3k5
adipor1
sbno1
supt4a
myo6
rfx4
dfna5
arf1
trmt1l
wipi1
lemd2
abcc6
hspa4
exosc7
maf
ppp3cb
ikbkb
tmem42
armc1
gna14
apool
tuba1c
eif2s3x
pcgf3
stk4
naa25
ddx41
rgl3
golph3
anxa2
siva1
morc2a
mrps34
kpna4
snrpd1
cnot4
arid4a
pfn1
usp18
rab3gap2
kdm5a
zfp398
2310009b15rik
pccb
snx19
mpnd
pde4c
megf9
scamp5
asnsd1
rad51d
rpl9
e130102h24rik
sdha
snx24
utp14a
slc4a2
mprip
tmem9
spink1
ccdc115
2810474o19rik
gzf1
fgfr1op2
cda
sash1
kiz
tceanc2
wdr60
gm4285
tbc1d24
tet2
tuba8
pla2g12b
nipa2
rwdd1
prdx5
alpl
rcbtb2
csnk2a1
b4galt7
mn1
rfwd2
ik
ube2b
proca1
fbxl12
ddx1
xrn2
nrbp1
atg4b
apeh
prdm2
gnai3
gm44096
rps19bp1
bloc1s2
lect1
2410004b18rik
tia1
fam193b
mta2
uaca
ppcdc
tbrg1
dnajc13
nsf
emc2
slc16a13
znrf3
pdxdc1
wdr24
tgfbr1
lgr4
helb
rbm8a
them4
hyal1
grwd1
cfl2
ctsd
gm9774
rbbp5
bco2
rabgef1
ldah
stim1
surf2
dazap2
arl6ip6
sco1
akap9
sptlc1
epb41l4aos
snf8
psmd13
hnrnph2
dpcd
gm10126
cd1d1
eif4a1
cradd
hacd1
megf8
mtdh
aprt
alg11
araf
tmem5
pcnxl3
srsf3
nup54
znrd1as
snai2
snx33
stap2
pigk
acyp2
gm11789
glrx2
prpf6
zcchc2
tmem167b
slc41a1
tigar
dhrsx
ube2r2
fancc
gtf3c3
rapgef4os1
efr3b
pick1
safb
st6galnac4
faim
gpr180
eif4enif1
sec11a
rp23-306p12.2
sugp2
pigc
nufip2
rbm5
zfp26
scai
dusp22
atp2c1
nkd1
rab30
evi5l
bcl9
ripk1
snap47
lcorl
1700018l02rik
pias1
spsb2
stard3
usp7
utp6
btrc
bcar1
pdgfa
ints4
lzts2
gm4799
rp9
katnbl1
phykpl
zc3h10
mtrf1
ppfibp2
ubap2l
mea1
mpi
vps13c
zbed5
gm28727
mnd1
sars2
mkks
gid4
ap4m1
usp1
ankrd10
mfap3
arhgef10l
smad3
bag5
arhgap42
scaper
trmu
tmem43
mmaa
als2
tcof1
dcaf10
kif2a
rnf40
ccdc53
adamts1
mast4
sardhos
smndc1
cmtr1
crlf2
zc3h12c
rnf216
ss18
fbxw4
zfyve27
zfp626
sugct
tfb1m
gm28347
epm2a
mtif2
ubxn7
0610010k14rik
pdpr
spag1
mcm3ap
pigb
ube2d1
ift74
2210404o09rik
bc017643
zfp719
gpn2
eml2
zfp59
rad50
golph3l
cfp
2410016o06rik
qtrtd1
